algo,n,rep,hauteur,largeur,prof_feuilles,taille_gauche,time_ms
Remy,1000,7,57,86,27.4096,998,0.1509
ABR,1000,7,24,210,13.5285,213,0.0658
Remy,1000,8,56,84,28.1159,999,0.1652
ABR,1000,8,21,266,12.4446,896,0.0651
Remy,1000,9,60,80,28.9850,998,0.1559
ABR,1000,9,20,246,12.6563,369,0.0648
Remy,1000,10,72,96,33.2008,1,0.3650
ABR,1000,10,20,258,12.1998,305,0.0570
Remy,1000,11,64,70,33.8731,0,0.1402
ABR,1000,11,23,222,13.1598,636,0.1149
Remy,1000,12,38,110,22.6134,999,0.1361
ABR,1000,12,24,188,14.0689,61,0.0560
Remy,1000,13,45,104,25.2078,1,0.1171
ABR,1000,13,21,268,12.0779,639,0.0551
Remy,1000,14,43,106,23.7712,984,0.1311
ABR,1000,14,21,264,12.7962,565,0.0539
Remy,1000,15,57,82,28.1359,10,0.1180
ABR,1000,15,20,222,12.5554,482,0.0532
Remy,1000,16,50,112,24.9001,0,0.1321
ABR,1000,16,21,254,12.4565,278,0.0691
Remy,1000,17,52,78,28.8122,0,0.1481
ABR,1000,17,20,264,12.2048,592,0.0641
Remy,1000,18,43,96,24.3826,5,0.2391
ABR,1000,18,21,234,12.7612,697,0.0610
Remy,1000,19,52,84,24.4995,920,0.2122
ABR,1000,19,21,230,13.8242,987,0.0570
Remy,1000,20,44,106,27.3257,999,0.1321
ABR,1000,20,22,264,12.6583,932,0.0710
Remy,1000,21,57,72,31.5475,6,0.1280
ABR,1000,21,21,272,12.1479,451,0.0582
Remy,1000,22,51,86,28.8521,999,0.1349
ABR,1000,22,21,244,13.1808,906,0.0551
Remy,1000,23,46,94,23.7862,1,0.2279
ABR,1000,23,21,196,13.3566,525,0.0629
Remy,1000,24,54,76,30.3656,999,0.1860
ABR,1000,24,23,228,12.9970,702,0.0610
Remy,1000,25,52,108,28.5844,0,0.1199
ABR,1000,25,20,236,13.4436,84,0.0548
Remy,1000,26,46,88,27.2348,1,0.2310
ABR,1000,26,22,254,12.6104,777,0.0551
Remy,1000,27,50,106,25.5874,0,0.1252
ABR,1000,27,25,198,13.7213,272,0.0541
Remy,1000,28,57,86,29.7113,4,0.1321
ABR,1000,28,21,244,13.3057,579,0.0541
Remy,1000,29,41,104,22.4825,999,0.1159
ABR,1000,29,24,246,13.0500,682,0.0570
Remy,1000,30,72,102,39.2507,999,0.1850
ABR,1000,30,21,252,12.3786,621,0.0579
Remy,1000,31,50,82,25.1828,996,0.1690
ABR,1000,31,21,212,13.0989,269,0.0570
Remy,1000,32,46,104,24.2118,998,0.1550
ABR,1000,32,19,306,11.9151,588,0.0620
Remy,1000,33,60,82,36.6913,999,0.2570
ABR,1000,33,21,274,12.1359,408,0.0560
Remy,1000,34,64,62,32.1798,998,0.2282
ABR,1000,34,21,248,12.5524,640,0.0551
Remy,1000,35,92,68,39.2917,999,0.1259
ABR,1000,35,19,282,12.2318,926,0.0548
Remy,1000,36,71,58,35.7722,1,0.1869
